TRADING SESSION ANALYSIS - NIFTY 50 (Local 5)
Generated,3/3/2026, 1:42:44 PM
Start Date,1/3/2022, 3:15:00 PM

PERFORMANCE SUMMARY
Total P&L,613476.80
Win Rate,42.9%
Winning Trades,147
Losing Trades,196
Avg Win,21861.49
Avg Loss,13266.14
Profit Factor,1.24

POSITION SUMMARY
ID,Direction,Entry Date/Time,Exit Date/Time,Entry Price,Exit Price,Qty,PnL,Duration (min),SL,Target,SL Hit,TP Hit,Trend Reversed,PnL at Reversal,Exit Reason,Category,LT Market,HT Market,Entry Pos,LLHH Pivot,Entry Sign,Align E(S),Align E(V),Align M(S),Align M(V),Notes,Screenshot (E),Screenshot (M)
pos-1772525402245-xzd9qb0nz,SHORT,30-12-2022 19:05:00,30-12-2022 19:25:00,18204.5,18170.35,625,21343.75,20.0,18220.5,18172.5,NO,NO,NO,,TP,System,Bear-Reversal,Bull-Trend,on-MA,LH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772525362210-8rdk7e63w,LONG,30-12-2022 18:05:00,30-12-2022 18:30:00,18228.5,18192,344,-12556.00,25.0,18199.5,18286.5,NO,NO,NO,,SL,System,Range,Bull-Trend,on-MA,LH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772525234522-0sxmt6obi,LONG,29-12-2022 20:00:00,29-12-2022 20:20:00,18091.65,18148.1,625,35281.25,20.0,18072.093427272175,18131.673141067127,NO,NO,NO,,TP,System,Bull-Trending-range,Bull-Trend,gap,HH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772525198903-6gdaaxtue,LONG,29-12-2022 19:05:00,29-12-2022 19:25:00,18047.8,18092.35,625,27843.75,20.0,18031.8,18079.8,NO,NO,NO,,TP,System,Bull-Trend,Range,on-MA,HH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772525165212-nv87sbs28,SHORT,29-12-2022 16:50:00,29-12-2022 17:10:00,18017,18033.2,833,-13494.60,20.0,18029,17993,NO,NO,NO,,SL,System,Bear-Trend,Bear-Trend,gap,HH-LL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772525107596-7k960yj07,SHORT,28-12-2022 19:45:00,28-12-2022 20:55:00,18153.5,18106.9,454,21156.40,70.0,18175.5,18109.5,NO,NO,NO,,TP,System,Bull-Trend,Bull-Trend,gap-opposite,HH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772524957061-6t52yt4kv,LONG,27-12-2022 16:20:00,27-12-2022 19:20:00,18048.55,18108.2,357,21295.05,180.0,18020.55,18104.55,NO,NO,YES,-7336.35,TP,System,Bull-Reversal,Bull-Trend,on-MA,LH-HL,H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772524838821-1jeie2863,LONG,26-12-2022 18:25:00,26-12-2022 19:50:00,17982.65,18026.7,500,22025.00,85.0,17962.65,18022.65,NO,NO,YES,-7336.35,TP,System,Bull-Reversal,Bull-Trend,on-MA,LH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772524792234-upt1p9svq,LONG,26-12-2022 15:55:00,26-12-2022 17:45:00,17937.65,18004.6,303,20285.85,110.0,17904.65,18003.65,NO,NO,YES,-7336.35,TP,System,Bull-Trend,Range,gap,LH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772524674330-a6zkd6cts,SHORT,23-12-2022 18:15:00,23-12-2022 19:05:00,17906.5,17863.2,506,21909.80,50.0,17919.5,17880.5,NO,NO,YES,-7336.35,TP,System,Bear-Trend,Bear-Trend,on-MA,HH-LL,Reverse-H1/L1,Yes,Yes,Yes,Yes,"",,
pos-1772524514526-br00zgcsw,SHORT,23-12-2022 16:45:00,23-12-2022 17:00:00,17941.05,17897.35,500,21850.00,15.0,17961.05,17901.05,NO,NO,YES,-7336.35,TP,System,Bear-Reversal,Bear-Trend,gap,HH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772524498299-o26r259se,SHORT,23-12-2022 16:20:00,23-12-2022 16:35:00,17932.4,17954.75,454,-10146.90,15.0,17954.4,17888.4,NO,NO,YES,-7336.35,SL,System,Bear-Trend,Bear-Trend,gap,LH-HL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772524428201-v11gdtx0t,SHORT,22-12-2022 18:55:00,22-12-2022 19:15:00,18106.3,18151.75,227,-10317.15,20.0,18150.3,18018.3,NO,NO,YES,-7336.35,SL,System,Range,Bear-Trend,on-MA,HH-LL,H2/L2,Yes,Yes,Yes,Yes,"",,
pos-1772524399674-w7hkllaf7,SHORT,22-12-2022 17:55:00,22-12-2022 18:35:00,18099.3,18123.55,500,-12125.00,40.0,18119.3,18059.3,NO,NO,YES,-7336.35,SL,System,Bear-Trend,Bear-Trend,on-MA,HH-LL,H1/L1,Yes,Yes,Yes,Yes,"",,
